Collected,Message Time Stamp,Source ID,Source ID Description,NDOT Link ID,Route,From Route,To Route,Link Description,RM ID,Lane Number,Vehicles,Violations,AQD Presence,HOV,Staus
06/18/2012 08:52,06/18/2012 08:58,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 08:52,06/18/2012 08:58,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,7,0,2,0,1
06/18/2012 08:52,06/18/2012 08:58,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,16,3,0,0,0
06/18/2012 08:58,06/18/2012 09:04,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
06/18/2012 08:58,06/18/2012 09:04,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 08:58,06/18/2012 09:04,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,24,1,0,0,0
06/18/2012 08:58,06/18/2012 09:03,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,14,2,4,0,0
06/18/2012 09:03,06/18/2012 09:10,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 09:03,06/18/2012 09:10,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,18,0,0,0,1
06/18/2012 09:03,06/18/2012 09:10,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,12,0,4,0,1
06/18/2012 09:03,06/18/2012 09:10,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
06/18/2012 09:10,06/18/2012 09:16,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,19,0,5,0,1
06/18/2012 09:10,06/18/2012 09:16,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,34,0,0,0,1
06/18/2012 09:10,06/18/2012 09:16,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 09:10,06/18/2012 09:16,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
06/18/2012 09:16,06/18/2012 09:22,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 09:16,06/18/2012 09:22,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,23,0,0,0,1
06/18/2012 09:16,06/18/2012 09:22,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,22,0,4,0,1
06/18/2012 09:16,06/18/2012 09:22,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
06/18/2012 09:22,06/18/2012 09:28,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,10,0,3,0,1
06/18/2012 09:22,06/18/2012 09:28,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,14,0,0,0,1
06/18/2012 09:22,06/18/2012 09:28,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
06/18/2012 09:22,06/18/2012 09:28,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 09:28,06/18/2012 09:34,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,16,0,4,0,1
06/18/2012 09:28,06/18/2012 09:34,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 09:28,06/18/2012 09:34,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,21,0,0,0,1
06/18/2012 09:28,06/18/2012 09:34,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
06/18/2012 09:34,06/18/2012 09:39,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 09:34,06/18/2012 09:39,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,8,0,0,0,1
06/18/2012 09:34,06/18/2012 09:39,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,5,0,1,0,1
06/18/2012 09:34,06/18/2012 09:40,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
06/18/2012 09:39,06/18/2012 09:45,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 09:39,06/18/2012 09:45,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,27,0,0,0,1
