Record Start Date,Record End Date,Source ID,Source ID Description,ID,Type Name,Asset ID,Location,Owner,Maintenance,Jurisdiction
08/02/2007 10:25,,1,FAST FMS,198,Trailblazer (Pole Mounted),T097,SB Eastern at Washington,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,199,Trailblazer (Pole Mounted),T098,WB Washington at Las Vegas Boulevard,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,200,Trailblazer (Pole Mounted),T099,NB Las Vegas Boulevard at Washington,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,201,Trailblazer (Pole Mounted),T100,EB Washington at Las Vegas Boulevard,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,202,Trailblazer (Pole Mounted),T101,SB Las Vegas Boulevard at Washington,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,203,Trailblazer (Pole Mounted),T102,NB Las Vegas Boulevard at Main Street,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,204,Trailblazer (Pole Mounted),T103,SB Las Vegas Boulevard at Main Street,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,205,Trailblazer (Pole Mounted),T104,WB Lake Mead Boulevard at Las Vegas Boulevard,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,206,Trailblazer (Pole Mounted),T105,NB Las Vegas Boulevard at Lake Mead Boulevard,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,207,Trailblazer (Pole Mounted),T106,EB Lake Mead Boulevard at Las Vegas Boulevard,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,208,Trailblazer (Pole Mounted),T107,SB Las Vegas Boulevard at Lake Mead Boulevard,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,209,Trailblazer (Pole Mounted),T108,WB Lake Mead Boulevard at Civic Center,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,210,Trailblazer (Pole Mounted),T109,NB Civic Center at Lake Mead Boulevard,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,211,Trailblazer (Pole Mounted),T110,EB Lake Mead Boulevard at Civic Center,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,212,Trailblazer (Pole Mounted),T111,SB Civic Center at Lake Mead Boulevard,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,213,Trailblazer (Pole Mounted),T112,WB Lake Mead Boulevard at Martin Luther King,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,214,Trailblazer (Pole Mounted),T113,NB Martin Luther King at Lake Mead Boulevard,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,215,Trailblazer (Pole Mounted),T114,EB Lake Mead Boulevard at Martin Luther King,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,216,Trailblazer (Pole Mounted),T115,SB Martin Luther King at Lake Mead Boulevard,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,220,Trailblazer (Pole Mounted),T119,SB Martin Luther King at Washington,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,221,Trailblazer (Pole Mounted),T120,US-95 NB Off-Ramp to Martin Luther King,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,222,Trailblazer (Pole Mounted),T121,SB Martin Luther King at US-95,NDOT,NDOT,NDOT
08/02/2007 10:25,,1,FAST FMS,267,Detector or Ramp Meter- "A",TBS135,Spring Mountain Ave. & Valley View Blvd.,FAST AMS,NDOT,CITY OF LAS VEGAS
08/02/2007 10:25,,1,FAST FMS,248,Detector or Ramp Meter- "A",015103852,On-Ramp, Flamingo Road to  I-15 NB,CITY OF LAS VEGAS,FAST AMS,CITY OF LAS VEGAS
08/02/2007 10:25,,1,FAST FMS,275,Detector or Ramp Meter- "A",DMS,US-95 SB, South of Paradise Hills Dr. (south of US95/I215 interchange),FAST FMS,FAST FMS,FAST FMS
08/02/2007 10:25,,1,FAST FMS,268,Detector or Ramp Meter- "A",TBS136,WB Lake Mead at I-15 SB Off-Ramp,FAST FMS,FAST FMS,FAST FMS
08/02/2007 10:25,,1,FAST FMS,218,Detector or Ramp Meter- "A",TBS121,NB Martin Luther King at Washington,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/02/2007 10:25,,1,FAST FMS,217,Detector or Ramp Meter- "A",TBS120,WB Washington at Martin Luther King,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/02/2007 10:25,,1,FAST FMS,219,Detector or Ramp Meter- "A",TBS122,EB Washington at Martin Luther King,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/02/2007 10:25,,1,FAST FMS,91,Detector or Ramp Meter- "A",015004456,On-Ramp, Lake Mead Boulevard to  I-15 SB,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/02/2007 10:25,,1,FAST FMS,115,Detector or Ramp Meter- "A",515007479,Off-Ramp, I-515 SB to  Las Vegas Boulevard,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
