Street Name,TONOPAH--Southbound,,,,BONANZA--Westbound,,,,TONOPAH--Northbound,,,,BONANZA--Eastbound,,,
End Time,Left ,Throug h,Right ,Peds ,Left ,Throug h,Right ,Peds ,Left ,Throug h,Right ,Peds ,Left ,Throug h,Right ,Peds 
0.2916666666666667,37.0,2.0,29.0,2.0,0.0,83.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,110.0,0.0,0.0
0.3020833333333333,41.0,0.0,19.0,1.0,2.0,69.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,3.0,1.0
0.3125,49.0,2.0,27.0,3.0,0.0,94.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,141.0,1.0,0.0
0.3229166666666667,67.0,1.0,33.0,1.0,0.0,105.0,13.0,0.0,1.0,0.0,0.0,0.0,4.0,155.0,2.0,1.0
0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3541666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3645833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3854166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3958333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
